placekey,safegraph_place_id,brands,location_name,street_address,city,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
222-222@5r6-t7m-fmk,sg:16f1124c64504e07a5b7805b9e70182d,Lowe's,Lowe's,1900 E Hillside Dr,Broken Arrow,OK,74012,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,5547.0,3177.0
222-222@5z5-px8-ndv,sg:4aefc56e0ddc49669946f0f9e95c55e8,The Home Depot,The Home Depot,10604 Westview Pkwy,San Diego,CA,92126,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3385.0,1958.0
222-222@645-9w2-rkz,sg:d166f61c2d6245a6be9ad0f34436c86a,Lowe's,Lowe's,191 Porters Neck Rd,Porters Neck,NC,28411,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2943.0,1703.0
zzw-222@8gp-bf9-t35,sg:4ada5c5f373d4aa28e9979ce8de155ef,Lowe's,Lowe's,1340 Bowens Mill Rd SE,Douglas,GA,31533,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3100.0,1643.0
222-222@63h-hqc-hyv,sg:4c2d0dbdc98a4ce29de23f6546b47920,Lowe's,Lowe's,2700 Michigan St,Sidney,OH,45365,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1398.0,853.0
zzw-222@8gg-2mx-mkz,sg:a799f24294b6483c8267ebedd5c52453,Lowe's,Lowe's,2508 Cuthbertson Rd,Waxhaw,NC,28173,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3642.0,2024.0
zzw-222@628-pj8-q2k,sg:cfc43b9817ef4ca485c89cdf3718c36a,The Home Depot,The Home Depot,4640 Roosevelt Blvd,Philadelphia,PA,19124,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3359.0,1936.0
222-222@63j-8gy-z2k,sg:016319f9bc1343558642f70507684987,Lowe's,Lowe's,5385 Ridge Ave,Cincinnati,OH,45213,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2109.0,1350.0
222-222@63v-4m9-wp9,sg:28f8ebc897b44d8bbce609857486c31b,Lowe's,Lowe's,3277 S Rochester Rd,Rochester Hills,MI,48307,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1327.0,892.0
222-222@8dj-mbf-wx5,sg:6b7a6b9cc1664585a7f75a5ee145ed18,Lowe's,Lowe's,41800 US Highway 19 N,Tarpon Springs,FL,34689,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2717.0,1670.0
zzw-222@63f-kjk-yjv,sg:ddf3186a1ffb4e55b882ece9b5db287b,The Home Depot,The Home Depot,4901 Capital Blvd,Raleigh,NC,27616,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2025.0,1300.0
222-222@8fw-5h4-47q,sg:fa633f515c4f497ebe7a704efc7e11f0,The Home Depot,The Home Depot,19400 SW 106th Ave,Cutler Bay,FL,33157,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,5443.0,2947.0
zzw-222@63m-v2n-rff,sg:4123b71602bf4d6584b70a11fb5fbec2,Lowe's,Lowe's,350 Diederich Blvd,Russell,KY,41101,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3956.0,2148.0
222-222@5px-8qv-h3q,sg:e862a49579374a758ddb221222166472,Lowe's,Lowe's,9800 Preston Crossing Blvd,Louisville,KY,40229,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3941.0,2352.0
zzw-222@5x2-zkp-k75,sg:07cbe83dcd0f40cb8e78747c13c8be0f,Lowe's,Lowe's,1717 Freeway Dr,Mount Vernon,WA,98273,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1776.0,1015.0
223-222@5z6-3ny-87q,sg:3e84c95e58fe4b8d825e1b91e2a47f20,The Home Depot,The Home Depot,5800 Lincoln Ave,Cypress,CA,90630,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3267.0,1891.0
222-222@5z7-sw8-7t9,sg:436f8d29ce3f4a5abb91aeebe340b3aa,The Home Depot,The Home Depot,4864 E Kings Canyon Rd,Fresno,CA,93727,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2241.0,1226.0
223-222@665-txg-syv,sg:f1a384c261af494a87137ae8a72a0bfc,The Home Depot,The Home Depot,2100 Elmwood Ave,Buffalo,NY,14207,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2082.0,1107.0
222-222@5qy-dxp-8jv,sg:049a37f57de04a7fbfbd765c21b40b94,Lowe's,Lowe's,5000 S Coulter St,Amarillo,TX,79119,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,5571.0,3236.0
222-224@628-tn8-x5z,sg:35cc28f7cd954822b283c66751998608,The Home Depot,The Home Depot,4095 US Highway 1,Heathcote,NJ,08852,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1731.0,1028.0
222-222@8g6-xpb-hkf,sg:4a6cf9713f104f268069b758bc766875,The Home Depot,The Home Depot,65 Fairview Rd,Ellenwood,GA,30294,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2281.0,1295.0
222-222@5yz-3fv-6ff,sg:6e75cc339a2c4177a249966ceb08aabe,The Home Depot,The Home Depot,1440 Technology Dr,Richfield,UT,84701,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,1195.0,636.0
222-222@5qc-xhz-dsq,sg:c357f71581634f918355b51e2062e09a,The Home Depot,The Home Depot,9570 S Highland Dr,Sandy,UT,84092,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,1631.0,863.0
222-222@627-z2t-tjv,sg:084e76bc16014d20a4f60c591c7d2b5c,The Home Depot,The Home Depot,254 Larkin Dr,Monroe,NY,10950,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1937.0,1071.0
zzw-222@8ts-zh7-zfz,sg:4a5cd6d149b34b07803359a2432cb5e4,Lowe's,Lowe's,777 E Baseline Rd,Tempe,AZ,85283,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1296.0,778.0
222-222@5pw-2km-54v,sg:516b6742d6d54466a92e90d3546c98e7,The Home Depot,The Home Depot,300 Commons Dr,Chicago Ridge,IL,60415,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1225.0,826.0
