placekey,safegraph_place_id,brands,location_name,street_address,city,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
zzw-223@5q9-9zk-8gk,sg:b960d0276d274e73b8a25873dfa88871,The Home Depot,The Home Depot,860 S Colorado Blvd,Glendale,CO,80246,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,1800.0,1098.0
226-222@627-s8h-vcq,sg:0a51c4909a324632a02ea297c5d6f187,The Home Depot,The Home Depot,40 W 23rd St,New York,NY,10010,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,478.0,375.0
zzw-222@8f3-xbc-tgk,sg:14c512837fe44c87aa45e8aa43d2c8ae,Lowe's,Lowe's,6004 U S Highway 98,Hattiesburg,MS,39402,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4280.0,2750.0
zzy-222@8tm-pc5-4qf,sg:46c787c689374391978df59fa56a7431,The Home Depot,The Home Depot,1220 Renaissance Blvd NE,Albuquerque,NM,87107,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,2656.0,1648.0
222-222@5qs-zjq-9s5,sg:75feabc10fdf4edeb76e50fce292e25f,The Home Depot,The Home Depot,3040 NW 59th St,Oklahoma City,OK,73112,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2178.0,1335.0
222-222@63s-7p3-26k,sg:9f526f60379b464ba93e615a1b726ea3,Lowe's,Lowe's,561 Hepburn Rd,Avondale,PA,19311,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2025.0,1200.0
222-222@8g9-m78-8jv,sg:94e7979fc3254b2c81c8d34db040cf50,Lowe's,Lowe's,1098 Hunters Xing,Alcoa,TN,37701,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2982.0,1553.0
zzy-222@5z5-ms5-8n5,sg:99dffe7cc2c144a4b7ee2b46239186da,The Home Depot,The Home Depot,1100 L Avenue,Barstow,CA,92311,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1468.0,794.0
222-222@63g-4cm-jvz,sg:c0f2a278781040b78a31caad42420118,Lowe's,Lowe's,5901 University Pkwy,Winston Salem,NC,27105,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3401.0,2047.0
222-222@5z5-wmp-r6k,sg:d3a66fe4b3204bbdb40716cea4a27ce2,The Home Depot,The Home Depot,725 Plaza Ct,Chula Vista,CA,91910,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3203.0,1707.0
222-222@5qw-skz-grk,sg:f65265aa4d5b44889661a9868077d4b9,The Home Depot,The Home Depot,2901 W Wheatland Rd,Dallas,TX,75237,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3687.0,2332.0
222-222@5s6-wt5-td9,sg:ac1b885de01e418fb8b6847b896275f5,Lowe's,Lowe's,2745 E West Maple Rd,Commerce Township,MI,48390,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2409.0,1522.0
zzw-222@646-m36-hdv,sg:ba9180e154fa424bacd60c50a9cfeb1a,Lowe's,Lowe's,700 N Wesleyan Blvd,Rocky Mount,NC,27804,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3718.0,2102.0
zzw-222@5vg-tr4-qpv,sg:db617390c008417ba4d9b929da97856d,Lowe's,Lowe's,7840 Greenback Ln,Citrus Heights,CA,95610,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3462.0,2115.0
zzw-222@5q9-9xy-2p9,sg:e8d9bd9119fd479a9b30e065611f1895,Lowe's,Lowe's,5095 S Santa Fe Dr,Englewood,CO,80120,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,1279.0,882.0
222-222@5qv-v9j-h5z,sg:5a11a425bf254d45bf8c44ddb921f521,The Home Depot,The Home Depot,3261 N President George Bush Hwy,Garland,TX,75040,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3164.0,2047.0
222-222@8gn-zq3-y7q,sg:ca9bb17ca6b448d6a43d3e13514b6028,The Home Depot,The Home Depot,9751 Crosshill Blvd,Jacksonville,FL,32222,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3141.0,1833.0
222-222@629-87b-2rk,sg:3386b9bc4a02479e88459e74dca76b41,Lowe's,Lowe's,2796 Route 112,Medford,NY,11763,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3245.0,2094.0
222-222@5z4-rtz-9cq,sg:f07980e49f7a411d99ad6d5599ea85b4,Lowe's,Lowe's,2500 Park Ave,Tustin,CA,92782,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2572.0,1820.0
zzw-222@8g7-xmx-575,sg:60439b23d7894837befa6df03614d445,The Home Depot,The Home Depot,2011 Central Ave Ext,Cordele,GA,31015,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1765.0,1027.0
227-222@8gf-dnb-g6k,sg:9fe3ba726b074d2797d06ae4de0d5423,The Home Depot,The Home Depot,5415 Ballantyne Commons Pkwy,Charlotte,NC,28277,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2836.0,1851.0
222-222@5zb-xhm-4n5,sg:df33d05407a44aa2aa50e0ca674e7a9e,The Home Depot,The Home Depot,9969 W Camelback Rd,Phoenix,AZ,85037,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1720.0,1198.0
222-222@5sc-fjg-x89,sg:88feb800b6a445bb9f8cca2d864b992e,The Home Depot,The Home Depot,11071 W National Ave,West Allis,WI,53227,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2346.0,1454.0
222-222@8tt-pgs-j9z,sg:9a64ebfc8c53454abc0925c3477361b2,Lowe's,Lowe's,3700 Martin Luther King Jr Pkwy,Sierra Vista,AZ,85635,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2127.0,1062.0
222-222@629-3qh-2hq,sg:c1225d8ac019420fa4a70b51507d9089,The Home Depot,The Home Depot,80 Buckland Hills Dr,Manchester,CT,06042,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2517.0,1612.0
zzw-222@628-p8d-rrk,sg:ea9bf4b5dd8a433581337101a4d1201a,Lowe's,Lowe's,3800 Aramingo Ave,Philadelphia,PA,19137,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2040.0,1306.0
zzw-222@8gq-5jp-py9,sg:d44bdf1e61254aeeaf97a81f9dc01c9d,Lowe's,Lowe's,4600 E Silver Springs Blvd,Ocala,FL,34470,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,4231.0,2403.0
222-222@628-ctx-nyv,sg:80b646d45aaa4832819c461e21c85f86,Lowe's,Lowe's,630 Cowpath Rd,Montgomeryville,PA,19446,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2355.0,1477.0
zzw-222@8fw-75y-6rk,sg:3dcbb424a23541da9939dd364fbeddc9,The Home Depot,The Home Depot,13895 W Okeechobee Rd,Hialeah Gardens,FL,33018,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3627.0,2020.0
222-222@8gc-75q-rx5,sg:ebc41ea7c68245d18d0177916f457ef8,The Home Depot,The Home Depot,7554 Northwoods Blvd,North Charleston,SC,29406,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1843.0,1195.0
zzw-222@5s6-t22-3wk,sg:402efdb7580e457293b24237fff95354,The Home Depot,The Home Depot,3786 S Mackinaw Trl,Haring,MI,49601,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2391.0,1407.0
222-222@8gq-pkv-tqf,sg:5a314ca55ffa4a87ad9e6827c86532f5,The Home Depot,The Home Depot,10 Garden St N,Palm Coast,FL,32137,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3110.0,1699.0
zzw-222@5z5-389-gtv,sg:e9f66ab35e9049388c8c75908d26a082,Lowe's,Lowe's,2000 W Empire Ave,Burbank,CA,91504,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1861.0,1382.0
222-222@63r-tv4-dgk,sg:f99a3f1d7e804870bdab02ea85fdae95,Lowe's,Lowe's,13720 Smoketown Rd,Woodbridge,VA,22192,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3554.0,2178.0
222-222@63d-78d-sbk,sg:155639c7fd814f5a9799a38a9d9bd06a,The Home Depot,The Home Depot,440 Home Dr,Pittsburgh,PA,15275,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2400.0,1588.0
222-222@5qs-zpr-j9z,sg:9eadc9fc18c24b37a3b46214bf326db1,The Home Depot,The Home Depot,7400 S Shields Blvd,Oklahoma City,OK,73149,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3200.0,1954.0
222-222@646-7j4-st9,sg:af63ebab90e640e89a7f7dfa370361c4,Lowe's,Lowe's,351 Whiteville Rd NW,Shallotte,NC,28470,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2414.0,1477.0
222-222@63v-v6h-ygk,sg:fcdbcfe7a16a4263ac465ec6b2bcdf50,The Home Depot,The Home Depot,7451 Peach St,Erie,PA,16509,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1783.0,1153.0
222-222@64h-w53-b6k,sg:24a7fd79e25a4225908b5b1abf326443,Lowe's,Lowe's,2403 Virginia Beach Blvd,Virginia Beach,VA,23454,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3193.0,1754.0
222-222@63d-t96-3kf,sg:49ae7569afd342ca96a9ae6dd6d5ac55,Lowe's,Lowe's,4115 Mall Dr,Steubenville,OH,43952,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2862.0,1664.0
zzw-222@63n-zw7-j35,sg:6332b2bb025442efbb5bfaef72f8c0a5,Lowe's,Lowe's,2165 S Main St,Mansfield,PA,16933,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1074.0,614.0
222-222@5z4-my4-7qz,sg:f00702c7ec2049e8b89acd077cdeb17c,Lowe's,Lowe's,1659 W Foothill Blvd,Upland,CA,91786,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2457.0,1439.0
222-222@8ts-3mf-2rk,sg:6d5bf01e0959454abd25ec85e5314d9a,The Home Depot,The Home Depot,3689 E Broadway Blvd,Tucson,AZ,85716,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2052.0,1273.0
222-222@5r8-fq6-4qf,sg:fadce4c4839a49bca9c3abfa16e8ef5e,The Home Depot,The Home Depot,901 S Elgin Ave,Tulsa,OK,74120,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2504.0,1497.0
zzw-222@5sb-cb3-9mk,sg:02878cc5cc8c4f53bde16b2a918e6966,The Home Depot,The Home Depot,2429 S Green Bay Rd,Racine,WI,53406,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2290.0,1316.0
222-222@5r7-7nj-qj9,sg:a170cf75eeba471d87a62b52dc220992,Lowe's,Lowe's,2120 Fayetteville Rd,Van Buren,AR,72956,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2658.0,1554.0
zzw-222@5r5-7p4-v75,sg:b1faed5902924e2bacd8cc63727377f9,Lowe's,Lowe's,1930 E 17th Ave,Hutchinson,KS,67501,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2299.0,1232.0
zzw-223@5pv-yjw-mhq,sg:9aa085cf15714102809260d829cb6140,Lowe's,Lowe's,1520 E 79th Ave,Merrillville,IN,46410,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1932.0,1375.0
222-222@5vg-9pb-x89,sg:dd34ed6d77d54d6bbae20269dd6944c1,Lowe's,Lowe's,5503 Lone Tree Way,Antioch,CA,94531,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2960.0,1770.0
zzw-223@8fc-fqv-sh5,sg:655f92f530f84746a70deffc43a28ab3,The Home Depot,The Home Depot,24400 Commercial Dr,Rosenberg,TX,77471,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3700.0,2280.0
222-222@8gk-545-djv,sg:a3668ef712b7404b91b8ea3b85d2bd4e,The Home Depot,The Home Depot,4385 Commons Dr W,Destin,FL,32541,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2641.0,1507.0
222-222@629-2pw-s89,sg:2448e35509324f768a6069cba46573a9,The Home Depot,The Home Depot,514 E Main St,Westfield,MA,01085,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1652.0,992.0
zzw-222@8gm-nsj-j35,sg:47faf8d97c76457bb86a5966ce83cb1d,Lowe's,Lowe's,10050 Memorial Pkwy SW,Huntsville,AL,35803,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3061.0,1894.0
222-222@8g9-n5b-6ff,sg:7b54ea2760ec4361b3bc09bb1fba24c0,Lowe's,Lowe's,1716 E Main St,Sylva,NC,28779,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1570.0,864.0
222-222@628-cv4-zcq,sg:887fc55921ca4379bfefd10d2b398be2,The Home Depot,The Home Depot,751 Horsham Rd Unit D,Montgomeryville,PA,19446,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2344.0,1434.0
222-222@8fy-bzd-9j9,sg:c94df53f46744608ab0089e5297d6c4f,Lowe's,Lowe's,2170 Howland Blvd,Deltona,FL,32738,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2156.0,1180.0
zzw-222@62j-sz7-d35,sg:ed523d8d23144afb89eb82d7f39a5067,The Home Depot,The Home Depot,3 Mystic View Rd,Everett,MA,02149,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1285.0,837.0
zzw-222@8gq-tkt-sbk,sg:7947fb46197b4aa1b6167367d0404c40,Lowe's,Lowe's,1340 W Granada Blvd,Ormond Beach,FL,32174,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3413.0,1925.0
zzw-222@8dz-w5m-pvz,sg:966353a3ed3f4da98edd4964e8c0050b,Lowe's,Lowe's,2906A E Harding Ave,Pine Bluff,AR,71601,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2960.0,1779.0
222-222@629-2hw-zj9,sg:1ecc5bb4218e4e3c8fad5fa919cf0808,The Home Depot,The Home Depot,2001 Boston Rd,Wilbraham,MA,01095,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1856.0,1108.0
zzw-222@8m4-t4v-ghq,sg:43ac6e71e6434b419a33c04ee11a5488,The Home Depot,The Home Depot,4600 Kapolei Pkwy,Kapolei,HI,96707,2020-07-01T00:00:00-10:00,2020-08-01T00:00:00-10:00,5677.0,3236.0
223-222@5z6-2qj-ygk,sg:45d75325cff7474e921e1c0c308046a4,The Home Depot,The Home Depot,2300 Harbor Blvd,Costa Mesa,CA,92626,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2410.0,1456.0
222-222@5pb-gxq-2rk,sg:4ffdb34ce45e4f6ab51d1649867a0cd9,Lowe's,Lowe's,1280 21st Ave NW,Owatonna,MN,55060,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2060.0,1213.0
zzw-222@5vh-rxm-jn5,sg:5655596ed23c44d2a69b1c41ac61bdee,The Home Depot,The Home Depot,1617 N Carpenter Rd,Modesto,CA,95351,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2570.0,1461.0
zzw-222@62k-jc4-v4v,sg:67eff25a0163489dac3466befa77a874,The Home Depot,The Home Depot,371 Putnam Pike,Smithfield,RI,02917,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1502.0,961.0
222-222@5s5-k7k-389,sg:ca06a489b86d447689e09b5063de87df,The Home Depot,The Home Depot,1227 M 89,Plainwell,MI,49080,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1549.0,936.0
225-222@627-s26-jy9,sg:3dc39b46fb42469fa523a107865cac98,The Home Depot,The Home Depot,13220 Merrick Blvd,Jamaica,NY,11434,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3072.0,1689.0
222-222@62k-dwn-bff,sg:8cbb1c33bf3e462fb09bbfbec0cf9035,The Home Depot,The Home Depot,135 Commercial Rd,Leominster,MA,01453,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2617.0,1471.0
zzw-225@5z5-s86-2ff,sg:63504de978734494a8d7afe250f59c3d,The Home Depot,The Home Depot,255 Town Center Pkwy,Santee,CA,92071,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,3024.0,1793.0
222-223@8dj-f8n-gtv,sg:9e20e1c8261940d49cea4351efec3e92,Lowe's,Lowe's,12901 N Dale Mabry Hwy,Tampa,FL,33618,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1.0,1.0
222-222@5s6-vs2-st9,sg:a5c0dea8bf19424cab4d632c0daf197c,The Home Depot,The Home Depot,5300 W Pierson Rd,Flushing,MI,48433,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1942.0,1183.0
222-222@8gb-pwj-wtv,sg:0201bcfd09b34e36a8903c3600f98526,The Home Depot,The Home Depot,1000 Market Place Blvd,Cumming,GA,30041,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,5402.0,3308.0
222-222@628-hgt-zzz,sg:20501f0bcd9549de86b3c6724f78199a,The Home Depot,The Home Depot,736 US Highway 202,Bradley Gardens,NJ,08807,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1967.0,1233.0
222-222@5z4-zgs-2rk,sg:7c53b5708e894adb8072f602c5d26c3c,Lowe's,Lowe's,8383 Topanga Canyon Blvd,West Hills,CA,91304,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1688.0,1168.0
222-222@5xq-4cj-bx5,sg:503ebfa1cbd34ab4a6b0ca8094bc8aad,The Home Depot,The Home Depot,401 W Ventura Blvd,Camarillo,CA,93010,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2414.0,1449.0
222-222@5vh-97p-jsq,sg:71e59559720541a7a3c8ca2068966212,Lowe's,Lowe's,7151 Camino Arroyo,Gilroy,CA,95020,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1731.0,1109.0
222-222@5qw-vjx-mhq,sg:dfaf45858a9c4da7bc5cdd83d6ade620,The Home Depot,The Home Depot,300 NW John Jones Dr,Burleson,TX,76028,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,5090.0,2997.0
zzw-222@5qx-pc9-bkz,sg:01d38f4da5134e10b928cb7913d94185,Lowe's,Lowe's,2701 12th Ave NW,Ardmore,OK,73401,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4990.0,2661.0
zzw-223@63q-hbg-jy9,sg:11c8a4e20fec43eb843119dcc81e7366,Lowe's,Lowe's,225 Sycamore St,Vestal,NY,13850,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2483.0,1420.0
zzw-222@8fc-8sr-hyv,sg:5861b02658a54077afe84c7b297ef4cf,Lowe's,Lowe's,2741 Broadway St,Pearland,TX,77581,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3855.0,2389.0
223-222@628-xjd-33q,sg:b7cd3a0852684bb3a1daaf6db370817d,The Home Depot,The Home Depot,1055 N Colony Rd,Wallingford,CT,06492,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1955.0,1105.0
222-222@5z8-nzw-v4v,sg:24870cee5a044fd29931235f0f7658bf,Lowe's,Lowe's,6200 Colony St,Bakersfield,CA,93307,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1903.0,1165.0
zzw-223@5pw-2np-6zf,sg:3073919684534fd4a50bc8397d169688,The Home Depot,The Home Depot,140 Countryside Plz,Countryside,IL,60525,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2170.0,1446.0
zzw-222@62j-rms-389,sg:d4e0a752b177450aa864174f0d81ee87,The Home Depot,The Home Depot,721 Milford Rd,Merrimack,NH,03054,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1543.0,982.0
zzw-222@63g-dgx-t7q,sg:8ac23bc95b224d68ad00711da33f3412,The Home Depot,The Home Depot,31 Windigrove Dr,Waynesboro,VA,22980,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1140.0,724.0
222-222@8g8-7v2-389,sg:091c8d27600545b985e67603cd408319,Lowe's,Lowe's,6750 Veterans Pkwy,Columbus,GA,31909,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,5571.0,3481.0
zzy-222@96z-ypd-ysq,sg:1cb71a69faff4a4d8c655e271a37fda4,The Home Depot,The Home Depot,133 65th Av Bo San Anton Parque Escorial,Carolina,PR,00983,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2473.0,1760.0
zzw-222@63j-rxc-6hq,sg:9e34f84103aa47afbd907aa9900a7f2a,Lowe's,Lowe's,7000 W Central Ave,Toledo,OH,43617,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2498.0,1511.0
zzw-222@8gk-sjg-9fz,sg:eea17e5843334b9a8161517685d7935a,The Home Depot,The Home Depot,41310 US Highway 280,Sylacauga,AL,35150,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1.0,1.0
222-222@5r5-wqt-hdv,sg:7a5eb24442624cce9a5651b7418dcff5,Lowe's,Lowe's,1621 SW Arvonia Pl,Topeka,KS,66615,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2803.0,1636.0
zzw-222@629-bbv-rzf,sg:cafc2dfcbd364248a89f8a9bc857527a,The Home Depot,The Home Depot,120 Franklin St,Westerly,RI,02891,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1419.0,846.0
222-222@8dz-9wp-66k,sg:24b3f2d506464e3abfe85d0b903346ca,The Home Depot,The Home Depot,507 W 19th St,El Dorado,AR,71730,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3049.0,1661.0
zzw-223@5vg-nqw-mc5,sg:f3257b4a3d154be8860e2b9c383adcae,The Home Depot,The Home Depot,324 N Sunrise Ave,Roseville,CA,95661,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,287.0,259.0
222-222@63v-4c7-9pv,sg:fc048360fe054ea59b74d072c0f28884,The Home Depot,The Home Depot,13500 Middlebelt Rd,Livonia,MI,48150,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2357.0,1592.0
222-223@8fc-f7x-7t9,sg:29e3d382a827466ba1fed704b990fd9d,The Home Depot,The Home Depot,1111 Fry Rd,Katy,TX,77449,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4877.0,3289.0
222-222@63f-yc2-92k,sg:6b2a0777d8894438afbd4b2dd877bc31,The Home Depot,The Home Depot,200 Conston Ave,Christiansburg,VA,24073,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1659.0,1014.0
222-222@5xc-kn3-kmk,sg:9223b71c427a4596839511c30283da83,Lowe's,Lowe's,1000 NE Wood Village Blvd,Wood Village,OR,97060,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2231.0,1308.0
222-222@8sx-ybk-45f,sg:d24234d150d740f2a61010b77d6ee960,Lowe's,Lowe's,1530 Airline Rd,Corpus Christi,TX,78412,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,5284.0,3114.0
222-222@8gf-wgj-7dv,sg:f4980e38c00c4d878c9b479a402a5ef9,Lowe's,Lowe's,814 NC 24 27 Byp E Ste 14,Albemarle,NC,28001,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,4163.0,2135.0
222-222@8dx-77f-ndv,sg:b46139af0dc84228aa46d1dfe978edae,The Home Depot,The Home Depot,8181 Airline Hwy,Baton Rouge,LA,70815,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1866.0,1240.0
zzw-222@5v6-pjm-ks5,sg:d8353220e3b34fba8e76d9c8fb18d2d7,The Home Depot,The Home Depot,1200 Churn Creek Rd,Redding,CA,96003,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2743.0,1564.0
zzw-222@627-wkx-4vz,sg:06744d14eb8048d68fe36bce97b7480b,Lowe's,Lowe's,1721 Morris Ave,Union,NJ,07083,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1926.0,1329.0
222-222@5wd-csj-h3q,sg:0e7eb2874ac34e6e872f4b7ebb03dbca,The Home Depot,The Home Depot,2425 Thain Grade,Lewiston,ID,83501,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2246.0,1167.0
zzw-222@63s-2ry-qvf,sg:281c64074eeb47779d3dd167194d1ee6,Lowe's,Lowe's,6425 Mechanicsville Tpke,Mechanicsville,VA,23111,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2809.0,1656.0
222-222@5p2-2tw-vs5,sg:9739241f41a64b05b68f444d91f5e17c,Lowe's,Lowe's,18375 Wright St,Omaha,NE,68130,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3689.0,2231.0
222-222@62k-jg3-qj9,sg:a811bd09bf3d4f1f973ca9e90300af31,Lowe's,Lowe's,247 Garfield Ave,Cranston,RI,02920,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1694.0,916.0
zzy-222@63r-brq-4gk,sg:3a1a7d97fdd0497094b8989b6246ba82,The Home Depot,The Home Depot,6315 Eastern Avenue Dundalk,Baltimore,MD,21224,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2930.0,1548.0
zzw-222@627-tmw-pqf,sg:4670c2bdea784feebd74e935df619267,Lowe's,Lowe's,25301 Rockaway Blvd,Woodmere,NY,11422,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2824.0,1883.0
222-222@5xd-qdq-975,sg:ceb6186393f743af8eda5e1b969ef3eb,The Home Depot,The Home Depot,3021 Cherry Ave NE,Salem,OR,97301,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2486.0,1439.0
222-222@5pn-kjf-kfz,sg:85617528abc240ad84fdd988095c67e8,The Home Depot,The Home Depot,7665 Highway 70 S,Nashville,TN,37221,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2455.0,1445.0
222-222@8sz-fps-45f,sg:8c2740563ed849f8964a66cc1069498d,The Home Depot,The Home Depot,3201 E Central Texas Expy,Killeen,TX,76543,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3902.0,2225.0
zzw-222@8g7-44k-789,sg:d797de5328264d3a85bff89ef4963b82,Lowe's,Lowe's,1717 E West Connector,Austell,GA,30106,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1761.0,1148.0
zzw-222@8ts-zgq-89z,sg:a2c79984af014e4899f61ba85b224214,Lowe's,Lowe's,7950 E McDowell Rd,Scottsdale,AZ,85257,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1248.0,726.0
222-222@63d-vqp-6x5,sg:b3280f34859648f1bbae551e023689d3,The Home Depot,The Home Depot,4873 Portage St NW,Canton,OH,44720,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3887.0,2318.0
222-222@5q9-9z9-73q,sg:7835092a6dd2469eaad503c9eb90d36a,The Home Depot,The Home Depot,5600 S Chambers Rd,Aurora,CO,80015,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,2154.0,1318.0
